Animal #,Species,Found_Address,Found_Zip_Code,clean_found_address,found_geocode,found_lat,found_long
A38548723,Dog,412 Wisconsin St,54981,412 Wisconsin St  54981,"412, Wisconsin Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.36228932841955,-89.09060284298236
A38548723,Dog,Granite & North St,54981,Granite & North St  54981,"Granite Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.360147,-89.088948
A38551334,Cat,1222 E. Clark st,54981,1222 E. Clark st  54981,"E, Koval Lane, Paradise, Clark County, Nevada, 89119-1001, United States",36.0882422,-115.16149
A38566001,Cat,South Park,54981,South Park  54981,"South Park, Waupaca, Waupaca County, Wisconsin, United States",44.3482615,-89.08547264744995
A38628581,Cat,Main St,54981,Main St  54981,"Main Street, Rural, Town of Dayton, Waupaca County, Wisconsin, 54981, United States",44.311998,-89.160258
A38779159,Cat,429 North St,54981,429 North St  54981,"429, North Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.360986757314706,-89.09095015605567
A38783586,Cat,515 River St,54981,515 River St  54981,"515, River Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3628079254452,-89.09318839541051
A38803715,Cat,515 River St,54981,515 River St  54981,"515, River Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3628079254452,-89.09318839541051
A38803719,Cat,515 River St,54981,515 River St  54981,"515, River Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3628079254452,-89.09318839541051
A38803735,Cat,515 River St,54981,515 River St  54981,"515, River Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3628079254452,-89.09318839541051
A38830153,Cat,515 River St,54981,515 River St  54981,"515, River Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.3628079254452,-89.09318839541051
A38919491,Cat,205 E South Street,54981,205 E South Street  54981,"Meziměstí u Broumova 1, 5. května, Meziměstí, Starostín, Meziměstí, okres Náchod, Královéhradecký kraj, Severovýchod, 54981, Česko",50.6258903,16.2401769
A39738573,Cat,304 Oak St,54981,304 Oak St  54981,"Oak Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.360021,-89.077237
A39744464,Dog,"Pizza Hut, W. Fulton",54981,"Pizza Hut, W. Fulton  54981","Pizza Hut, 1080, West Fulton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.356907050000004,-89.11224321261113
A39772901,Cat,314 S Morton St,54981,314 S Morton St  54981,"314, South Morton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35485271518218,-89.09295485639493
A39794811,Cat,Mill St,54981,Mill St  54981,"Mill Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.360156,-89.084305
A39802898,Cat,Pick n Save Parking lot,54981,Pick n Save Parking lot  54981,"Pick 'n Save, 955, West Fulton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35604360000001,-89.10723181060278
A39809408,Cat,314 S Morton St,54981,314 S Morton St  54981,"314, South Morton Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.35485271518218,-89.09295485639493
A39852373,Cat,600 Oak St #234,54981,600 Oak St #234  54981,"600, Denise Road, Rochester, Greece, Monroe County, New York, 14616, United States",43.2430321,-77.6319475
A39853991,Cat,855 Smith St E,54981,855 Smith St E  54981,"855, Smith Street, Waupaca, Waupaca County, Wisconsin, 54981, United States",44.356080146546596,-89.10016669909186
